,accuracy,precision,recall,f1,specificity,roc_auc,threshold,threshold_method
standard,0.7606060606060606,0.8326639892904953,0.8474114441416893,0.8399729912221472,0.51171875,0.6094282186648502,0.002226967364549637,Youden_J_statistic
lightweight,0.7808080808080808,0.8387942332896461,0.8719346049046321,0.8550434201736807,0.51953125,0.6234673024523161,0.0027376338839530945,Youden_J_statistic
resnet,0.7383838383838384,0.8321678321678322,0.8106267029972752,0.821256038647343,0.53125,0.5977946185286104,0.0025909869000315666,Youden_J_statistic
densenet,0.7424242424242424,0.8312586445366529,0.8188010899182562,0.8249828414550446,0.5234375,0.5981671491825613,0.0024590869434177876,Youden_J_statistic
vgg,0.7242424242424242,0.826025459688826,0.7956403269754768,0.8105482303955587,0.51953125,0.5879651311307901,0.0027138174045830965,Youden_J_statistic
